Template,mcp-typescript,cli,csharp,go,javav2,mockserver,php,postman,pythonv2,ruby,typescriptv2,unity,terraform
webhooks (Core),:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:
constsAndDefaults (Beta),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:
errors (Beta),:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:warning:,:warning:,:white_check_mark:,:white_check_mark:,:warning:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:
flattening (Beta),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:
globalSecurityCallbacks (Beta),:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:heavy_minus_sign:
methodSecurity (Beta),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:
methodServerURLs (Beta),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:
multiLevelTagging (Beta),:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:
nullables (Beta),:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:heavy_minus_sign:
unions (Beta),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:
additionalDependencies (GA),:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:
bigint (GA),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:
decimal (GA),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:
deepObjectParams (GA),:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:,:no_entry:,:white_check_mark:
deprecations (GA),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:
globalSecurityFlattening (GA),:no_entry:,:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:no_entry:,:white_check_mark:
globals (GA),:warning:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:warning:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:
pagination (GA),:no_entry:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:warning:,:heavy_minus_sign:,:white_check_mark:,:warning:,:white_check_mark:,:warning:,:white_check_mark:
retries (GA),:warning:,:warning:,:warning:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:warning:,:heavy_minus_sign:,:white_check_mark:,:warning:,:white_check_mark:,:no_entry:,:white_check_mark:
serverIDs (GA),:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:heavy_minus_sign:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:,:white_check_mark:
